sample,library,date,fastq_R1,notes
LibA-250211-NipahF-VSV-CHO-10cm,LibA,2/11/25,/fh/fast/bloom_j/SR/ngs/illumina/blarsen/20250219_LH00740_0048_A22YGGNLT3/Unaligned/BL_250213/LibA-250211-F-CHO-1000-10cm_S19_L001_R1_001.fastq.gz,
LibA-250211-NipahF-VSV-CHO,LibA,2/11/25,/fh/fast/bloom_j/SR/ngs/illumina/blarsen/20250219_LH00740_0048_A22YGGNLT3/Unaligned/BL_250213/LibA-250211-F-VSV-CHO-1000_S13_L001_R1_001.fastq.gz,
LibA-250211-NipahF-CHO-bEFNB3,LibA,2/11/25,/fh/fast/bloom_j/SR/ngs/illumina/blarsen/20250219_LH00740_0048_A22YGGNLT3/Unaligned/BL_250213/LibA-250211-F-CHO-bEFNB3-3pool_S17_L001_R1_001.fastq.gz,
LibB-250211-NipahF-VSV-CHO-10cm,LibB,2/11/25,/fh/fast/bloom_j/SR/ngs/illumina/blarsen/20250219_LH00740_0048_A22YGGNLT3/Unaligned/BL_250213/LibB-250211-F-CHO-1000-10cm_S20_L001_R1_001.fastq.gz,
LibB-250211-NipahF-VSV-CHO,LibB,2/11/25,/fh/fast/bloom_j/SR/ngs/illumina/blarsen/20250219_LH00740_0048_A22YGGNLT3/Unaligned/BL_250213/LibB-250211-F-VSV-CHO-1000_S15_L001_R1_001.fastq.gz,
LibB-250211-NipahF-CHO-bEFNB3,LibB,2/11/25,/fh/fast/bloom_j/SR/ngs/illumina/blarsen/20250219_LH00740_0048_A22YGGNLT3/Unaligned/BL_250213/LibB-250211-F-CHO-bEFNB3-3pool_S18_L001_R1_001.fastq.gz,
LibB-250310-NipahF-VSV-CHO-24hr,LibB,3/10/25,/fh/fast/bloom_j/SR/ngs/illumina/blarsen/20250318_LH00740_0060_B232JNWLT3/Unaligned/BL_Lib_250310/250310-LibB-NipahF-VSV-CHO-24hr_S101_L002_R1_001.fastq.gz,
LibB-250310-NipahF-VSV-CHO-48hr,LibB,3/10/25,/fh/fast/bloom_j/SR/ngs/illumina/blarsen/20250318_LH00740_0060_B232JNWLT3/Unaligned/BL_Lib_250310/250310-LibB-NipahF-VSV-CHO-48hr_S102_L002_R1_001.fastq.gz,
LibA-250310-NipahF-CHO-bEFNB3-NAC,LibA,3/10/25,/fh/fast/bloom_j/SR/ngs/illumina/blarsen/20250318_LH00740_0060_B232JNWLT3/Unaligned/BL_Lib_250310/250310-LibA-NipahF-CHO-bEFNB3-NAC_S103_L002_R1_001.fastq.gz,
LibA-250310-NipahF-CHO-bEFNB3-4H3-5000,LibA,3/10/25,/fh/fast/bloom_j/SR/ngs/illumina/blarsen/20250318_LH00740_0060_B232JNWLT3/Unaligned/BL_Lib_250310/250310-LibA-NipahF-CHO-bEFNB3-4H3-5_S104_L002_R1_001.fastq.gz,
LibA-250310-NipahF-CHO-bEFNB3-4H3-1000,LibA,3/10/25,/fh/fast/bloom_j/SR/ngs/illumina/blarsen/20250318_LH00740_0060_B232JNWLT3/Unaligned/BL_Lib_250310/250310-LibA-NipahF-CHO-bEFNB3-4H3-1_S105_L002_R1_001.fastq.gz,
LibA-250310-NipahF-CHO-bEFNB3-1A9-5000,LibA,3/10/25,/fh/fast/bloom_j/SR/ngs/illumina/blarsen/20250318_LH00740_0060_B232JNWLT3/Unaligned/BL_Lib_250310/250310-LibA-NipahF-CHO-bEFNB3-1A9-5_S106_L002_R1_001.fastq.gz,
LibA-250310-NipahF-CHO-bEFNB3-1A9-1000,LibA,3/10/25,/fh/fast/bloom_j/SR/ngs/illumina/blarsen/20250318_LH00740_0060_B232JNWLT3/Unaligned/BL_Lib_250310/250310-LibA-NipahF-CHO-bEFNB3-1A9-1_S107_L002_R1_001.fastq.gz,
LibA-250310-NipahF-CHO-bEFNB3-1F2-5000,LibA,3/10/25,/fh/fast/bloom_j/SR/ngs/illumina/blarsen/20250318_LH00740_0060_B232JNWLT3/Unaligned/BL_Lib_250310/250310-LibA-NipahF-CHO-bEFNB3-1F2-5_S108_L002_R1_001.fastq.gz,
LibA-250310-NipahF-CHO-bEFNB3-1F2-1000,LibA,3/10/25,/fh/fast/bloom_j/SR/ngs/illumina/blarsen/20250318_LH00740_0060_B232JNWLT3/Unaligned/BL_Lib_250310/250310-LibA-NipahF-CHO-bEFNB3-1F2-1_S109_L002_R1_001.fastq.gz,
LibA-250310-NipahF-CHO-bEFNB3-2B12-5000,LibA,3/10/25,/fh/fast/bloom_j/SR/ngs/illumina/blarsen/20250318_LH00740_0060_B232JNWLT3/Unaligned/BL_Lib_250310/250310-LibA-NipahF-CHO-bEFNB3-2B12-5_S114_L002_R1_001.fastq.gz,
LibA-250310-NipahF-CHO-bEFNB3-2B12-1000,LibA,3/10/25,/fh/fast/bloom_j/SR/ngs/illumina/blarsen/20250318_LH00740_0060_B232JNWLT3/Unaligned/BL_Lib_250310/250310-LibA-NipahF-CHO-bEFNB3-2B12-1_S115_L002_R1_001.fastq.gz,
LibB-250312-NipahF-CHO-VSV,LibB,3/12/25,/fh/fast/bloom_j/SR/ngs/illumina/blarsen/20250318_LH00740_0060_B232JNWLT3/Unaligned/BL_Lib_250312/LibB-250311-NipahF-CHO-VSV_S117_L003_R1_001.fastq.gz,
